corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
combined,1.1,40.0,16.0,0.0,0.6057288427533727,0.8381152875892063
combined,1.2,40.0,16.0,0.0,0.05044136191677175,11.35578151682617
noise,0.5,50.0,20.0,0.0,0.0,0.0
noise,1.0,50.0,20.0,0.0,0.0,0.0
noise,2.0,50.0,20.0,0.0,0.0,0.0
scale,0.98,50.0,20.0,0.0,0.0,0.0
scale,0.95,50.0,20.0,0.0,0.0,0.0
scale,0.9,50.0,20.0,0.0,0.0,0.0
scale,0.8,50.0,20.0,0.0,0.0,0.0
scale,1.02,50.0,20.0,0.0,0.0,0.0
scale,1.05,50.0,20.0,0.0,0.0,0.0
scale,1.1,50.0,20.0,0.0,0.0,0.0
scale,1.2,50.0,20.0,0.0,0.0,11.51358344113842
combined,0.98,50.0,20.0,0.0,0.0,0.0
combined,0.95,50.0,20.0,0.0,0.0,0.0
combined,0.9,50.0,20.0,0.0,0.0,0.0
combined,0.8,50.0,20.0,0.0,0.0,0.0
combined,1.02,50.0,20.0,0.0,0.0,0.0
combined,1.05,50.0,20.0,0.0,0.0,0.0
combined,1.1,50.0,20.0,0.0,0.0,0.8381152875892063
combined,1.2,50.0,20.0,0.0,0.0,11.35578151682617
